date,n1,n2,n3,n4,n5,n6,supp1,supp2
2011-05-09,2,3,4,7,28,30,21,37
2011-05-16,1,3,10,12,22,26,19,20
2011-05-23,21,22,26,33,38,42,10,20
2011-06-06,9,14,28,31,37,38,12,35
2011-06-20,11,13,33,40,43,45,42,44
2011-07-04,2,15,23,24,30,45,21,36
2011-09-05,1,6,21,32,38,40,17,29
2011-09-12,9,10,16,22,41,44,17,23
2011-09-26,5,13,23,29,33,44,11,12
2011-10-17,5,8,19,24,27,28,7,20
2011-11-28,8,17,19,22,39,42,2,16
2011-12-12,13,23,24,38,39,43,3,22
2011-12-19,1,4,11,21,29,43,5,31
2012-01-09,8,9,10,29,39,40,3,28
2012-01-16,7,12,18,31,37,38,41,44
2012-01-23,10,17,25,38,39,41,2,44
2012-01-30,4,14,15,18,20,43,11,34
2012-02-06,3,10,13,35,38,44,5,12
2012-02-13,11,14,23,31,35,40,7,17
2012-02-20,1,7,19,20,23,26,12,40
2012-03-05,1,8,11,14,29,44,31,42
2012-03-12,5,15,20,26,31,42,6,40
2012-03-19,8,9,20,23,44,45,29,43
2012-03-26,17,21,31,36,42,44,28,34
2012-04-23,7,11,21,28,29,31,24,25
2012-04-30,16,23,31,32,39,42,22,45
2012-05-07,3,18,20,21,44,45,25,31
2012-05-21,1,7,22,23,32,38,16,35
2012-06-04,2,4,12,17,24,35,5,36
2012-06-11,13,21,34,40,42,44,7,37
2012-07-02,12,20,21,28,32,35,38,42
2012-07-09,1,7,11,15,19,35,17,23
2012-07-16,4,9,13,19,21,38,2,31
2012-07-30,9,13,18,20,40,43,10,34
2012-10-08,8,13,14,15,30,37,32,36
2012-10-22,11,21,23,32,37,41,1,26
2012-11-26,16,30,36,37,42,45,24,39
2012-12-10,8,9,10,21,22,27,6,34
2012-12-17,7,13,29,35,36,40,6,21
2012-12-24,2,13,14,19,22,36,4,40
2013-01-07,13,18,21,32,41,44,20,37
2013-01-21,13,15,16,22,33,42,27,29
2013-02-04,7,15,16,30,31,43,20,42
2013-02-11,14,19,20,31,34,42,28,35
2013-02-18,7,24,37,39,42,44,25,33
2013-02-25,1,7,23,24,28,44,29,41
2013-03-18,5,16,21,22,27,31,13,28
2013-04-01,9,17,21,32,37,41,24,38
2013-04-08,18,28,31,33,41,45,12,21
2013-04-15,7,13,32,36,41,45,25,44
2013-05-20,3,15,16,28,33,42,23,27
2013-05-27,16,17,22,24,25,32,23,28
2013-06-24,7,10,26,29,39,45,5,23
2013-07-01,4,13,14,15,23,34,29,43
2013-07-08,9,13,19,29,39,42,23,41
2013-07-22,4,7,8,11,23,31,12,39
2013-09-02,13,20,28,30,43,45,1,7
2013-09-16,1,4,17,18,36,43,25,31
2013-09-30,6,12,24,31,33,39,16,23
2013-10-07,5,9,13,16,18,40,8,10
2013-10-21,10,28,30,33,40,42,16,17
2013-10-28,19,25,32,35,44,45,12,33
2013-12-02,2,3,7,27,35,44,29,43
2013-12-30,9,18,21,22,39,42,28,34
2014-02-10,3,7,14,17,20,29,8,40
2014-02-17,3,16,18,19,21,24,2,42
2014-02-24,1,7,9,10,35,39,27,33
2014-03-10,20,27,28,37,40,44,16,19
2014-03-17,8,11,21,26,40,41,15,18
2014-03-31,8,12,18,29,33,40,30,39
2014-04-07,2,15,20,25,30,35,7,34
2014-04-14,1,7,21,23,39,43,22,33
2014-04-28,3,5,8,27,33,39,20,35
2014-05-05,19,24,26,36,39,41,12,16
2014-05-12,1,13,18,19,39,43,24,31
2014-05-19,3,4,12,25,34,37,6,40
2014-06-02,3,4,16,21,23,34,7,18
2014-06-09,13,15,22,26,28,37,4,39
2014-06-16,1,8,12,13,34,41,20,23
2014-06-30,4,16,21,29,30,41,28,44
2014-07-14,2,11,18,28,33,39,15,30
2014-09-01,3,11,16,17,25,38,21,34
2014-09-08,22,26,28,30,32,43,8,41
2014-09-15,1,8,35,39,41,45,5,12
2014-09-22,13,28,29,30,35,39,25,40
2014-09-29,10,12,22,30,31,33,18,44
2014-10-06,4,13,25,28,31,34,16,37
2014-10-13,1,7,23,33,34,40,8,18
2014-10-20,1,9,28,35,38,45,14,29
2014-10-27,8,9,23,32,33,44,15,25
2014-11-03,4,24,28,32,40,45,13,36
2014-11-24,4,9,23,28,34,43,3,20
2014-12-01,1,7,8,15,31,43,3,29
2014-12-08,4,16,20,34,38,44,13,29
2014-12-15,4,7,14,20,29,37,38,45
2014-12-22,3,4,6,13,14,39,17,42
2014-12-29,4,15,17,20,29,31,33,41
2015-01-05,7,15,20,29,38,43,1,24
2015-01-26,9,14,15,25,28,30,21,38
2015-02-16,5,6,16,27,29,39,12,36
2015-02-23,3,12,15,25,28,39,26,33
2015-03-16,13,22,24,29,34,42,2,23
2015-03-30,17,19,32,33,39,45,15,23
2015-04-27,14,20,21,26,32,43,1,15
2015-05-18,2,5,16,23,39,41,38,43
2015-05-25,5,7,18,34,36,37,6,15
2015-06-01,8,17,22,30,32,39,6,29
2015-06-29,6,20,30,32,42,45,37,40
2015-07-06,4,11,12,27,30,41,29,44
2015-07-13,1,3,20,24,29,33,7,42
2015-07-20,3,27,28,31,33,42,39,44
2015-09-14,2,7,12,20,37,38,28,41
2015-09-21,5,15,18,25,26,40,3,12
2015-09-28,8,9,17,30,32,33,1,18
2015-10-19,15,24,25,28,30,34,16,21
2015-10-26,2,9,23,26,42,43,10,37
2015-11-16,10,20,32,34,44,45,8,27
2015-11-23,4,17,20,21,29,37,34,38
2015-12-07,12,20,24,28,29,34,13,39
2016-01-11,3,8,10,23,26,27,5,24
2016-01-25,8,13,14,17,25,28,23,34
2016-02-01,13,29,31,36,41,43,3,45
2016-03-28,10,13,19,22,25,26,29,44
2016-05-02,11,14,24,25,40,41,32,38
2016-05-30,8,14,17,20,33,37,5,29
2016-06-06,3,4,14,16,38,39,23,45
2016-06-13,10,12,18,30,37,42,16,29
2016-06-20,14,24,29,35,39,45,16,30
2016-07-04,1,6,9,12,15,20,25,38
2016-09-05,13,14,24,25,27,45,40,43
2016-09-12,5,8,12,21,26,44,14,33
2016-10-24,3,8,13,19,23,43,16,28
2016-10-31,8,28,32,37,38,39,11,25
2016-11-07,7,21,23,26,32,37,8,43
2016-11-14,3,4,13,25,35,39,15,34
2016-11-28,26,33,35,37,39,42,21,36
2016-12-05,3,21,25,29,41,45,24,37
2016-12-19,4,6,10,11,33,38,23,28
2016-12-26,2,9,11,18,21,29,40,45
2017-01-30,14,25,34,37,41,42,4,5
2017-02-06,7,24,34,35,36,42,8,40
2017-02-20,3,24,29,31,35,39,19,30
2017-02-27,14,19,25,26,42,43,22,36
2017-03-13,6,13,14,19,33,38,20,31
2017-03-27,3,6,18,20,31,36,9,23
2017-04-03,3,13,23,24,25,27,7,29
2017-04-10,6,10,15,29,35,37,32,36
2017-05-01,6,11,14,17,18,25,16,42
2017-05-08,4,5,23,25,33,42,20,24
2017-05-15,15,16,17,34,36,38,1,45
2017-05-22,6,17,20,33,38,44,16,24
2017-05-29,11,18,20,22,27,42,2,34
2017-06-05,2,13,16,22,31,38,19,34
2017-06-12,5,22,28,34,38,44,15,24
2017-06-19,20,21,22,27,35,42,2,3
2017-07-10,12,17,21,24,37,42,2,33
2017-07-24,1,13,20,23,28,39,18,35
2017-07-31,4,8,12,27,28,35,15,26
2017-09-04,7,8,13,16,24,37,5,20
2017-09-11,2,6,7,11,13,26,29,35
2017-09-18,4,9,13,14,18,43,2,37
2017-10-02,7,12,17,26,29,36,6,31
2017-10-23,15,16,20,21,31,41,26,44
2017-11-06,3,7,10,13,17,22,4,40
2017-11-27,9,13,16,38,39,41,10,43
2018-02-12,3,4,8,10,37,39,17,43
2018-02-19,7,9,14,18,35,37,28,39
2018-02-26,4,5,6,7,31,32,36,44
2018-03-05,6,9,11,13,18,24,23,33
2018-03-12,13,14,27,34,36,45,32,41
2018-03-26,13,24,30,36,40,41,3,39
2018-04-02,1,4,17,24,40,42,38,44
2018-04-16,10,11,15,35,37,40,19,20
2018-04-23,4,7,13,14,25,31,6,19
2018-04-30,5,8,17,21,23,24,9,44
2018-05-07,8,14,17,33,38,39,5,44
2018-06-18,9,16,20,23,25,32,1,42
2018-06-25,1,8,17,26,36,40,15,21
2018-07-02,2,5,21,22,30,33,23,26
2018-07-16,14,16,35,37,40,42,3,15
2018-07-30,8,11,26,29,35,40,2,7
2018-09-03,5,6,11,17,28,33,24,37
2018-09-17,2,7,16,36,37,40,11,26
2018-09-24,12,19,26,29,30,45,4,32
2018-10-29,2,27,37,41,43,45,16,33
2018-11-05,8,28,29,33,40,42,12,18
2018-11-12,4,14,16,27,30,38,29,37
2018-11-19,8,15,16,19,23,24,21,27
2018-11-26,1,2,3,16,30,45,10,21
2018-12-03,7,22,36,40,42,44,31,37
2018-12-17,18,31,33,36,37,40,9,25
2018-12-24,7,14,16,19,33,39,17,23
2018-12-31,16,24,25,32,36,39,10,20
2019-01-14,8,11,14,18,37,43,6,9
2019-02-04,6,22,26,31,38,42,8,23
2019-02-11,1,14,21,33,41,44,26,37
2019-02-25,5,14,18,23,25,40,3,19
2019-03-11,1,5,8,20,40,44,4,39
2019-03-25,4,13,23,28,37,42,12,19
2019-04-08,3,4,17,22,25,30,16,45
2019-04-15,1,13,24,38,41,42,18,30
2019-04-29,2,6,10,14,33,42,11,30
2019-05-06,1,20,21,30,36,41,8,32
2019-05-20,1,2,5,12,26,36,34,39
2019-05-27,11,18,25,29,35,40,27,38
2019-06-03,10,12,14,16,33,41,15,40
2019-06-10,2,3,5,7,15,19,20,23
2019-06-24,9,22,23,32,36,40,33,37
2019-07-15,6,11,21,24,35,40,14,44
2019-07-22,3,4,17,25,27,38,18,29
